扎;zhā, zā, zhá;to prick, push a needle into, penetrating | to tie | to struggle
压制;yāzhì;suppress, inhibit, stifle
排练;páiliàn;to rehearse
评论;pínglùn;comment on, discuss, remark
基金;jījīn;fund, endowment
投降;tóuxiáng;to surrender
灵感;línggǎn;inspiration, insight, a burst of creativity in scientific or artistic endeavor
漫画;mànhuà;comics, manga
预言;yùyán;predict, prophecy
角落;jiǎoluò;corner, nook
策略;cèlüè;tactics, plot
领先;lǐngxiān;leadership, to lead, be in front
装备;zhuāngbèi;equipment, to equip, to outfit
流氓;liúmáng;rogue, hooligan, gangster
声明;shēngmíng;statement, declare, proclaim
排除;páichú;eliminate, get rid of, remove
成交;chéngjiāo;complete a contract, clinch a deal, to seal
皇后;huánghòu;an empress
消防;xiāofáng;fire-fighting, fire prevention and control
吼;hǒu;roar, howl
发动;fādòng;to start, to launch, mobilize
集团;jítuán;group, bloc, circle, clique
协助;xiézhù;assist, to help
动力;dònglì;power, motion, impetus, driving force
阴谋;yīnmóu;a plot, a conspiracy
性命;xìngmìng;life
协会;xiéhuì;an association, a society
喉咙;hóulóng;throat, larynx
爆发;bàofā;break out, erupt, explode
陷害;xiànhài;cast blame on, to frame
瞄准;miáozhǔn;take aim (a weapon at a target)
随意;suíyì;as one wishes, according to one's wishes
荒唐;huāngtang;beyond belief, preposterous, absurd, intemperate
策划;cèhuà;plot, scheme, bring about
弥补;míbǔ;make up for a deficiency, remedy, offset
党;dǎng;party, club, association
来源;láiyuán;source, originate
判决;pànjué;judgment (by a court of law), adjudicate
陷阱;xiànjǐng;trap, snare
公正;gōngzhèng;just, fair
依靠;yīkào;rely on, depend on
委托;wěituō;to entrust, to trust, to ensign, to commission
犬;quǎn;dog (Kangxi radical 94)
冲突;chōngtū;conflict, clash
指示;zhǐshì;indicate, instruct, instructions
化妆;huà zhuāng;put on make-up
端;duān;end, beginning, extremity, carry holding something from the sides
卑鄙;bēibǐ;base, mean, despicable, contemptible, unprincipled
人士;rénshì;person, public figure
脆弱;cuìruò;weak, fragile, flimsy, frail
侵犯;qīnfàn;encroach on, infringe on, violation
器官;qìguān;organ, apparatus
考验;kǎoyàn;put to the test, trial
崇拜;chóngbài;worship, adore
魔术;móshù;magic
欲望;yùwàng;desire, lust
实力;shílì;strength
赌博;dǔbó;to gamble
处境;chǔjìng;plight, unfavorable situation
继承;jìchéng;inherit, carry on, succeed
晃;huàng, huǎng;to sway, to shake | to dazzle, to flash past
雇佣;gùyōng;employ, hire
隔离;gélí;insulate, separate, isolate
企图;qǐtú;(to ) attempt, try, attempt
无能为力;wú néng wéi lì;incapable of action, powerless, impotent
领袖;lǐngxiù;leader
挣扎;zhēngzhá;to struggle
